id,shape,price,carat,cut,color,clarity,report,type
10086414,10,430,0.3,3,1,3,1,1
10021869,3,430,0.3,4,5,1,1,1
10082854,10,430,0.31,5,2,1,1,1
10017659,8,430,0.3,4,6,2,1,1
10021227,10,430,0.3,5,2,2,1,1
10085576,10,430,0.3,5,1,2,1,1
10086541,10,430,0.3,5,1,2,1,1
10086607,10,430,0.3,4,2,2,1,1
10083440,10,430,0.3,5,2,1,1,1
10081905,10,430,0.3,4,1,1,1,1
10083628,10,430,0.3,5,2,1,1,1
10084616,10,430,0.3,3,1,1,1,1
10085191,10,430,0.3,4,1,1,1,1
10086398,10,430,0.32,5,1,1,1,1
10069564,7,430,0.3,2,2,3,1,1
10085647,10,430,0.32,5,1,2,1,1
9943802,3,430,0.3,4,5,1,1,1
10086613,10,430,0.3,3,2,1,1,1
10017866,3,430,0.3,4,5,2,1,1
10035452,10,430,0.3,3,2,2,1,1
9981968,5,430,0.33,4,2,2,1,1
9946479,3,430,0.3,4,5,1,1,1
10061364,5,430,0.3,4,5,1,1,1
10082500,10,430,0.3,5,1,2,1,1
10053036,3,440,0.31,4,7,1,1,1
9989482,3,440,0.3,3,5,2,1,1
10086205,10,440,0.31,4,2,3,1,1
10082162,10,440,0.3,4,1,3,1,1
10084578,10,440,0.3,5,1,2,1,1
10086346,10,440,0.3,3,1,2,1,1
10091308,7,440,0.3,4,2,2,1,1
9928413,8,440,0.3,5,2,2,1,1
9990986,3,440,0.3,5,4,1,1,1
10073135,10,440,0.3,2,3,1,1,1
10086324,10,440,0.31,4,2,3,1,1
10082566,10,440,0.3,3,5,1,1,1
10082795,10,440,0.3,4,3,1,1,1
10083928,10,440,0.3,3,1,2,1,1
10083162,10,440,0.3,4,2,1,1,1
10084180,10,440,0.3,5,3,1,1,1
10080402,10,440,0.3,2,2,3,1,1
10048724,3,440,0.3,4,5,2,1,1
9909069,10,440,0.3,2,3,2,1,1
10000634,10,440,0.3,3,2,3,1,1
10083476,10,440,0.3,5,2,3,1,1
10084896,10,440,0.3,5,2,2,1,1
10086764,10,440,0.3,5,2,1,1,1
10082433,10,440,0.3,3,2,2,1,1
10083849,10,440,0.3,5,1,1,1,1
9968988,3,440,0.3,3,5,2,1,1
9957272,3,440,0.3,4,4,2,1,1
10010687,8,440,0.3,4,2,4,1,1
10086104,10,440,0.3,3,4,1,1,1
10084788,10,440,0.33,4,1,2,1,1
10082121,10,440,0.3,4,5,1,1,1
10085645,10,440,0.3,3,1,3,1,1
9973964,7,440,0.3,4,1,3,1,1
10086243,10,440,0.3,5,1,1,1,1
10090742,3,440,0.31,4,1,4,1,1
9943254,3,450,0.3,4,6,1,1,1
9926324,5,450,0.31,4,2,3,1,1
9998051,3,450,0.3,4,2,4,1,1
9926330,5,450,0.3,3,5,2,1,1
10083105,10,450,0.32,5,1,3,1,1
10086464,10,450,0.3,5,1,3,1,1
10082707,10,450,0.3,3,5,1,1,1
